ENSG	HUGO	GAF	GENCODE
ENSG00000000003	TSPAN6	TSPAN6|7105	none
ENSG00000000005	TNMD	TNMD|64102	ENSG00000000005.5
ENSG00000000419	DPM1	DPM1|8813	ENSG00000000419.12
ENSG00000000457	SCYL3	SCYL3|57147	ENSG00000000457.13
ENSG00000000460	C1orf112	C1orf112|55732	ENSG00000000460.16
ENSG00000000938	FGR	FGR|2268	ENSG00000000938.12
ENSG00000000971	CFH	CFH|3075	ENSG00000000971.15
ENSG00000001036	FUCA2	FUCA2|2519	ENSG00000001036.13
ENSG00000001084	GCLC	GCLC|2729	ENSG00000001084.10
ENSG00000001167	NFYA	NFYA|4800	ENSG00000001167.14
ENSG00000001460	STPG1	C1orf201|90529	ENSG00000001460.17
ENSG00000001461	NIPAL3	NIPAL3|57185	ENSG00000001461.16
ENSG00000001497	LAS1L	LAS1L|81887	ENSG00000001497.16
ENSG00000001561	ENPP4	ENPP4|22875	ENSG00000001561.6
ENSG00000001617	SEMA3F	SEMA3F|6405	ENSG00000001617.11
ENSG00000001626	CFTR	CFTR|1080	ENSG00000001626.14
ENSG00000001629	ANKIB1	ANKIB1|54467	ENSG00000001629.9
ENSG00000001630	CYP51A1	CYP51A1|1595	ENSG00000001630.15
ENSG00000001631	KRIT1	KRIT1|889	ENSG00000001631.14
ENSG00000002016	RAD52	RAD52|5893	ENSG00000002016.16
ENSG00000002079	MYH16	MYH16|84176	ENSG00000002079.12
ENSG00000002330	BAD	BAD|572	ENSG00000002330.13
ENSG00000002549	LAP3	LAP3|51056	ENSG00000002549.12
ENSG00000002586	CD99	CD99|4267	ENSG00000002586.17
ENSG00000002587	HS3ST1	none	ENSG00000002587.9
ENSG00000002726	AOC1	ABP1|26	ENSG00000002726.19
ENSG00000002745	WNT16	WNT16|51384	ENSG00000002745.12
ENSG00000002746	HECW1	HECW1|23072	ENSG00000002746.14
ENSG00000002822	MAD1L1	MAD1L1|8379	ENSG00000002822.15
ENSG00000002834	LASP1	LASP1|3927	ENSG00000002834.17
ENSG00000002919	SNX11	SNX11|29916	ENSG00000002919.14
ENSG00000002933	TMEM176A	none	ENSG00000002933.7
ENSG00000003056	M6PR	M6PR|4074	none
ENSG00000003096	KLHL13	KLHL13|90293	ENSG00000003096.13
ENSG00000003137	CYP26B1	CYP26B1|56603	ENSG00000003137.8
ENSG00000003147	ICA1	ICA1|3382	ENSG00000003147.17
ENSG00000003249	DBNDD1	DBNDD1|79007	ENSG00000003249.13
ENSG00000003393	ALS2	ALS2|57679	ENSG00000003393.14
ENSG00000003400	CASP10	CASP10|843	ENSG00000003400.14
ENSG00000003402	CFLAR	CFLAR|8837	ENSG00000003402.19
ENSG00000003436	TFPI	TFPI|7035	ENSG00000003436.14
ENSG00000003509	NDUFAF7	C2orf56|55471	ENSG00000003509.15
ENSG00000003756	RBM5	RBM5|10181	ENSG00000003756.16
ENSG00000003987	MTMR7	MTMR7|9108	ENSG00000003987.13
ENSG00000003989	SLC7A2	SLC7A2|6542	ENSG00000003989.16
ENSG00000004059	ARF5	ARF5|381	ENSG00000004059.10
ENSG00000004139	SARM1	SARM1|23098	ENSG00000004139.13
ENSG00000004142	POLDIP2	POLDIP2|26073	ENSG00000004142.11
ENSG00000004399	PLXND1	PLXND1|23129	ENSG00000004399.12
ENSG00000004455	AK2	AK2|204	ENSG00000004455.16
ENSG00000004468	CD38	CD38|952	ENSG00000004468.12
ENSG00000004478	FKBP4	FKBP4|2288	ENSG00000004478.7
ENSG00000004487	KDM1A	KDM1A|23028	ENSG00000004487.15
ENSG00000004534	RBM6	RBM6|10180	ENSG00000004534.14
ENSG00000004660	CAMKK1	CAMKK1|84254	ENSG00000004660.14
ENSG00000004700	RECQL	RECQL|5965	ENSG00000004700.15
ENSG00000004766	VPS50	CCDC132|55610	ENSG00000004766.15
ENSG00000004776	HSPB6	HSPB6|126393	ENSG00000004776.11
ENSG00000004777	ARHGAP33	ARHGAP33|115703	ENSG00000004777.18
ENSG00000004779	NDUFAB1	NDUFAB1|4706	ENSG00000004779.9
ENSG00000004799	PDK4	PDK4|5166	ENSG00000004799.7
ENSG00000004809	SLC22A16	SLC22A16|85413	ENSG00000004809.13
ENSG00000004838	ZMYND10	ZMYND10|51364	ENSG00000004838.13
ENSG00000004846	ABCB5	ABCB5|340273	ENSG00000004846.16
ENSG00000004848	ARX	ARX|170302	ENSG00000004848.6
ENSG00000004864	SLC25A13	SLC25A13|10165	ENSG00000004864.13
ENSG00000004866	ST7	ST7|7982	ENSG00000004866.18
ENSG00000004897	CDC27	CDC27|996	ENSG00000004897.11
ENSG00000004939	SLC4A1	SLC4A1|6521	ENSG00000004939.13
ENSG00000004948	CALCR	CALCR|799	ENSG00000004948.13
ENSG00000004961	HCCS	HCCS|3052	ENSG00000004961.14
ENSG00000004975	DVL2	DVL2|1856	ENSG00000004975.11
ENSG00000005001	PRSS22	PRSS22|64063	ENSG00000005001.9
ENSG00000005007	UPF1	UPF1|5976	ENSG00000005007.12
ENSG00000005020	SKAP2	SKAP2|8935	ENSG00000005020.12
ENSG00000005022	SLC25A5	SLC25A5|292	ENSG00000005022.5
ENSG00000005059	MCUB	CCDC109B|55013	ENSG00000005059.15
ENSG00000005073	HOXA11	HOXA11|3207	ENSG00000005073.5
ENSG00000005075	POLR2J	POLR2J|5439	ENSG00000005075.15
ENSG00000005100	DHX33	DHX33|56919	ENSG00000005100.12
ENSG00000005102	MEOX1	MEOX1|4222	ENSG00000005102.12
ENSG00000005108	THSD7A	THSD7A|221981	ENSG00000005108.15
ENSG00000005156	LIG3	LIG3|3980	ENSG00000005156.11
ENSG00000005175	RPAP3	RPAP3|79657	ENSG00000005175.9
ENSG00000005187	ACSM3	ACSM3|6296	ENSG00000005187.11
ENSG00000005189	none	LOC81691|81691	ENSG00000005189.19
ENSG00000005194	CIAPIN1	CIAPIN1|57019	ENSG00000005194.14
ENSG00000005206	SPPL2B	SPPL2B|56928	none
ENSG00000005238	FAM214B	KIAA1539|80256	ENSG00000005238.19
ENSG00000005243	COPZ2	COPZ2|51226	ENSG00000005243.9
ENSG00000005249	PRKAR2B	PRKAR2B|5577	ENSG00000005249.12
ENSG00000005302	MSL3	MSL3|10943	ENSG00000005302.17
ENSG00000005339	CREBBP	CREBBP|1387	ENSG00000005339.12
ENSG00000005379	TSPOAP1	BZRAP1|9256	ENSG00000005379.15
ENSG00000005381	MPO	MPO|4353	ENSG00000005381.7
ENSG00000005421	PON1	PON1|5444	ENSG00000005421.8
ENSG00000005436	GCFC2	C2orf3|6936	ENSG00000005436.13
ENSG00000005448	WDR54	WDR54|84058	ENSG00000005448.16
ENSG00000005469	CROT	CROT|54677	ENSG00000005469.11
ENSG00000005471	ABCB4	ABCB4|5244	ENSG00000005471.15
ENSG00000005483	KMT2E	MLL5|55904	ENSG00000005483.19
ENSG00000005486	RHBDD2	RHBDD2|57414	ENSG00000005486.16
ENSG00000005513	SOX8	SOX8|30812	ENSG00000005513.9
ENSG00000005700	IBTK	IBTK|25998	ENSG00000005700.14
ENSG00000005801	ZNF195	ZNF195|7748	ENSG00000005801.16
ENSG00000005810	MYCBP2	MYCBP2|23077	none
ENSG00000005812	FBXL3	FBXL3|26224	ENSG00000005812.10
ENSG00000005844	ITGAL	ITGAL|3683	ENSG00000005844.17
ENSG00000005882	PDK2	PDK2|5164	ENSG00000005882.11
ENSG00000005884	ITGA3	ITGA3|3675	ENSG00000005884.17
ENSG00000005889	ZFX	ZFX|7543	ENSG00000005889.15
ENSG00000005893	LAMP2	LAMP2|3920	ENSG00000005893.15
ENSG00000005955	GGNBP2	GGNBP2|79893	ENSG00000278311.4
ENSG00000005961	ITGA2B	ITGA2B|3674	ENSG00000005961.17
ENSG00000005981	ASB4	ASB4|51666	ENSG00000005981.12
ENSG00000006007	GDE1	GDE1|51573	ENSG00000006007.11
ENSG00000006015	C19orf60	C19orf60|55049	ENSG00000006015.17
ENSG00000006016	CRLF1	CRLF1|9244	ENSG00000006016.10
ENSG00000006025	OSBPL7	OSBPL7|114881	ENSG00000006025.11
ENSG00000006042	TMEM98	TMEM98|26022	ENSG00000006042.11
