SCOPE	ENTREZ	HUGO	GENENAME	ENSEMBL	HGNC	CHR	MAPLOC	DESCRIPTION	GENETYPE	GSC1	GSC2	HUGO_ENSG	SCOPE_ENSG
A1BG	1	A1BG	A1BG	ENSG00000121410	5	19	19q13.43	alpha-1-B glycoprotein	protein-coding	A1BG|1_calculated	merged_A1BG|1_calculated	A1BG_ENSG00000121410	A1BG_ENSG00000121410
A1CF	29974	A1CF	A1CF	ENSG00000148584	24086	10	10q11.23	APOBEC1 complementation factor	protein-coding	A1CF|29974_calculated	merged_A1CF|29974_calculated	A1CF_ENSG00000148584	A1CF_ENSG00000148584
A2M	2	A2M	A2M	ENSG00000175899	7	12	12p13.31	alpha-2-macroglobulin	protein-coding	A2M|2_calculated	merged_A2M|2_calculated	A2M_ENSG00000175899	A2M_ENSG00000175899
A2ML1	144568	A2ML1	A2ML1	ENSG00000166535	23336	12	12p13.31	alpha-2-macroglobulin like 1	protein-coding	A2ML1|144568_calculated	merged_A2ML1|144568_calculated	A2ML1_ENSG00000166535	A2ML1_ENSG00000166535
A4GALT	53947	A4GALT	A4GALT	ENSG00000128274	18149	22	22q13.2	"alpha 1,4-galactosyltransferase (P blood group)"	protein-coding	A4GALT|53947_calculated	merged_A4GALT|53947_calculated	A4GALT_ENSG00000128274	A4GALT_ENSG00000128274
A4GNT	51146	A4GNT	A4GNT	ENSG00000118017	17968	3	3q22.3	"alpha-1,4-N-acetylglucosaminyltransferase"	protein-coding	A4GNT|51146_calculated	merged_A4GNT|51146_calculated	A4GNT_ENSG00000118017	A4GNT_ENSG00000118017
AAAS	8086	AAAS	AAAS	ENSG00000094914	13666	12	12q13.13	aladin WD repeat nucleoporin	protein-coding	AAAS|8086_calculated	merged_AAAS|8086_calculated	AAAS_ENSG00000094914	AAAS_ENSG00000094914
AACS	65985	AACS	AACS	ENSG00000081760	21298	12	12q24.31	acetoacetyl-CoA synthetase	protein-coding	AACS|65985_calculated	merged_AACS|65985_calculated	AACS_ENSG00000081760	AACS_ENSG00000081760
AADAC	13	AADAC	AADAC	ENSG00000114771	17	3	3q25.1	arylacetamide deacetylase	protein-coding	AADAC|13_calculated	merged_AADAC|13_calculated	AADAC_ENSG00000114771	AADAC_ENSG00000114771
AADACL2	344752	AADACL2	AADACL2	ENSG00000197953	24427	3	3q25.1	arylacetamide deacetylase like 2	protein-coding	AADACL2|344752_calculated	merged_AADACL2|344752_calculated	AADACL2_ENSG00000197953	AADACL2_ENSG00000197953
